ngram,day_ngram_percent_usage,session_date
thank,1.0640194,2022-03-02
join,0.089163646,2022-03-02
financ,0.089163646,2022-03-02
hous,0.26749092,2022-03-02
committe,0.14860608,2022-03-02
would,0.855971,2022-03-02
pleas,0.34476608,2022-03-02
call,0.17832729,2022-03-02
role,0.035665456,2022-03-02
still,0.09510789,2022-03-02
mute,0.07727516,2022-03-02
councilmemb,0.24371396,2022-03-02
herbold,0.089163646,2022-03-02
pedersen,0.005944243,2022-03-02
nelson,0.035665456,2022-03-02
present,0.4279855,2022-03-02
lewi,0.047553945,2022-03-02
chair,0.124829106,2022-03-02
five,0.053498186,2022-03-02
non,0.011888486,2022-03-02
absent,0.011888486,2022-03-02
wonder,0.07133091,2022-03-02
much,0.33882186,2022-03-02
colleagu,0.13671759,2022-03-02
us,0.5230934,2022-03-02
today,0.34476608,2022-03-02
full,0.053498186,2022-03-02
panel,0.07727516,2022-03-02
convers,0.19616002,2022-03-02
usk,0.005944243,2022-03-02
repres,0.053498186,2022-03-02
across,0.053498186,2022-03-02
nation,0.017832728,2022-03-02
talk,0.28532365,2022-03-02
cannabi,0.7192534,2022-03-02
equiti,0.83219403,2022-03-02
polici,0.18427153,2022-03-02
excit,0.089163646,2022-03-02
hear,0.30910063,2022-03-02
local,0.10699637,2022-03-02
jurisdict,0.10699637,2022-03-02
process,0.2615467,2022-03-02
went,0.047553945,2022-03-02
administr,0.07133091,2022-03-02
servic,0.36854306,2022-03-02
depart,0.17238304,2022-03-02
preview,0.011888486,2022-03-02
work,0.9808001,2022-03-02
make,0.39232004,2022-03-02
sure,0.22588123,2022-03-02
greater,0.017832728,2022-03-02
opportun,0.22588123,2022-03-02
small,0.14266182,2022-03-02
busi,0.70142066,2022-03-02
worker,0.14266182,2022-03-02
look,0.4814837,2022-03-02
post,0.011888486,2022-03-02
initi,0.11294062,2022-03-02
world,0.035665456,2022-03-02
creat,0.17238304,2022-03-02
better,0.07727516,2022-03-02
region,0.065386675,2022-03-02
guest,0.011888486,2022-03-02
build,0.24371396,2022-03-02
meet,0.25560245,2022-03-02
last,0.22588123,2022-03-02
discuss,0.11888486,2022-03-02
seattl,0.32693335,2022-03-02
ead,0.005944243,2022-03-02
number,0.2912679,2022-03-02
issu,0.25560245,2022-03-02
especi,0.0416097,2022-03-02
offic,0.16049457,2022-03-02
chanc,0.07727516,2022-03-02
direct,0.053498186,2022-03-02
folk,0.33882186,2022-03-02
communiti,0.5528146,2022-03-02
upcom,0.011888486,2022-03-02
addit,0.124829106,2022-03-02
owner,0.124829106,2022-03-02
well,0.45176247,2022-03-02
member,0.32098913,2022-03-02
want,0.71330917,2022-03-02
paus,0.011888486,2022-03-02
get,0.612257,2022-03-02
agenda,0.18427153,2022-03-02
object,0.053498186,2022-03-02
adopt,0.035665456,2022-03-02
take,0.29721215,2022-03-02
prerog,0.011888486,2022-03-02
offer,0.09510789,2022-03-02
devin,0.011888486,2022-03-02
alisa,0.005944243,2022-03-02
abdullah,0.005944243,2022-03-02
say,0.23776972,2022-03-02
word,0.023776973,2022-03-02
welcom,0.0416097,2022-03-02
public,0.45176247,2022-03-02
comment,0.2912679,2022-03-02
mayor,0.089163646,2022-03-02
harold,0.005944243,2022-03-02
express,0.017832728,2022-03-02
interest,0.13671759,2022-03-02
share,0.23182547,2022-03-02
encourag,0.023776973,2022-03-02
